Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,3,70.0,11200,1,3,3,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,2,0.0,3,4,1,4,4,3,5,906.0,6,0.0,134.0,1040.0,1,0,1,4,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,6,0,5,1965.0,3,1.0,384.0,5,5,2,0,0,0,0,0,0,0,2,2008,8,4,129500.0
12,60,3,85.0,11924,1,0,3,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,3,286.0,0,4,2,0,4,3,2,998.0,6,0.0,177.0,1175.0,1,0,1,4,1182,1142,0,2324,1.0,0.0,3,0,4,1,0,11,6,2,3,2005.0,0,3.0,736.0,5,5,2,147,21,0,0,0,0,0,7,2006,6,5,345000.0
13,20,3,69.30579531442663,12968,1,1,3,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,2,0.0,3,4,1,4,4,3,0,737.0,6,0.0,175.0,912.0,1,4,1,4,912,0,0,912,1.0,0.0,1,0,2,1,3,4,6,0,5,1962.0,3,1.0,352.0,5,5,2,140,0,0,0,176,0,0,9,2008,8,4,144000.0
14,20,3,91.0,10652,1,0,3,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,3,306.0,2,4,2,2,4,0,6,0.0,6,0.0,1494.0,1494.0,1,0,1,4,1494,0,0,1494,0.0,0.0,2,0,3,1,2,7,6,1,1,2006.0,2,3.0,840.0,5,5,2,160,33,0,0,0,0,0,8,2007,6,5,279500.0
15,20,3,69.30579531442663,10920,1,0,3,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,212.0,3,4,1,4,4,3,1,733.0,6,0.0,520.0,1253.0,1,4,1,4,1253,0,0,1253,1.0,0.0,1,1,2,1,3,5,6,1,1,1960.0,2,1.0,352.0,5,5,2,0,213,176,0,0,0,0,5,2008,8,4,157000.0
16,45,4,51.0,6120,1,3,3,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,832.0,832.0,1,0,1,0,854,0,0,854,0.0,0.0,1,0,2,1,3,5,6,0,5,1991.0,3,2.0,576.0,5,5,2,48,112,0,0,0,0,0,7,2007,8,4,132000.0
17,20,3,69.30579531442663,11241,1,0,3,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,180.0,3,4,1,4,4,3,0,578.0,6,0.0,426.0,1004.0,1,0,1,4,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,6,1,1,1970.0,0,2.0,480.0,5,5,2,0,0,0,0,0,0,700,3,2010,8,4,149000.0
18,90,3,72.0,10791,1,3,3,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,2,0.0,3,4,3,3,2,4,4,0.0,4,0.0,0.0,0.0,1,4,1,4,1296,0,0,1296,0.0,0.0,2,0,2,2,3,6,6,0,4,1967.0,3,2.0,516.0,5,5,2,0,0,0,0,0,0,500,10,2006,8,4,90000.0
19,20,3,66.0,13695,1,3,3,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,2,0.0,3,4,2,4,4,3,2,646.0,6,0.0,468.0,1114.0,1,0,1,4,1114,0,0,1114,1.0,0.0,1,1,3,1,2,6,6,0,5,2004.0,3,2.0,576.0,5,5,2,0,102,0,0,0,0,0,6,2008,8,4,159000.0
20,20,3,70.0,7560,1,3,3,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,2,0.0,3,4,1,4,4,3,3,504.0,6,0.0,525.0,1029.0,1,4,1,4,1339,0,0,1339,0.0,0.0,1,0,3,1,3,6,2,0,1,1958.0,3,1.0,294.0,5,5,2,0,0,0,0,0,0,0,5,2009,0,0,139000.0
21,60,3,101.0,14215,1,0,3,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,2,4,2,0,4,0,6,0.0,6,0.0,1158.0,1158.0,1,0,1,4,1158,1218,0,2376,0.0,0.0,3,1,4,1,2,9,6,1,3,2005.0,2,3.0,853.0,5,5,2,240,154,0,0,0,0,0,11,2006,6,5,325300.0
22,45,4,57.0,7449,1,3,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,2,0.0,3,4,2,4,4,3,6,0.0,6,0.0,637.0,637.0,1,0,1,1,1108,0,0,1108,0.0,0.0,1,0,3,1,2,6,6,1,1,1930.0,3,1.0,280.0,5,5,0,0,0,205,0,0,0,0,6,2007,8,4,139400.0
23,20,3,75.0,9742,1,3,3,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,2,4,2,2,4,3,6,0.0,6,0.0,1777.0,1777.0,1,0,1,4,1795,0,0,1795,0.0,0.0,2,0,3,1,2,7,6,1,1,2002.0,2,2.0,534.0,5,5,2,171,159,0,0,0,0,0,9,2008,8,4,230000.0
24,120,4,44.0,4224,1,3,3,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,2,0.0,3,4,2,2,4,3,2,840.0,6,0.0,200.0,1040.0,1,4,1,4,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,6,1,1,1976.0,3,2.0,572.0,5,5,2,100,110,0,0,0,0,0,6,2007,8,4,129900.0
25,20,3,69.30579531442663,8246,1,0,3,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,2,0.0,3,2,1,4,4,2,5,188.0,0,668.0,204.0,1060.0,1,0,1,4,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,6,1,1,1968.0,3,1.0,270.0,5,5,2,406,90,0,0,0,0,0,5,2010,8,4,154000.0
26,20,3,110.0,14230,1,3,3,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,3,640.0,2,4,2,2,4,3,6,0.0,6,0.0,1566.0,1566.0,1,0,1,4,1600,0,0,1600,0.0,0.0,2,0,3,1,2,7,6,1,1,2007.0,2,3.0,890.0,5,5,2,0,56,0,0,0,0,0,7,2009,8,4,256300.0
27,20,3,60.0,7200,1,3,3,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,2,0.0,3,4,1,4,4,2,1,234.0,5,486.0,180.0,900.0,1,4,1,4,900,0,0,900,0.0,1.0,1,0,3,1,2,5,6,0,5,2005.0,3,2.0,576.0,5,5,2,222,32,0,0,0,0,0,5,2010,8,4,134800.0
28,20,3,98.0,11478,1,3,3,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,3,200.0,2,4,2,0,4,3,2,1218.0,6,0.0,486.0,1704.0,1,0,1,4,1704,0,0,1704,1.0,0.0,2,0,3,1,2,7,6,1,1,2008.0,2,3.0,772.0,5,5,2,0,50,0,0,0,0,0,5,2010,8,4,306000.0
29,20,3,47.0,16321,1,0,3,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,2,0.0,3,4,1,4,4,1,1,1277.0,6,0.0,207.0,1484.0,1,4,1,4,1600,0,0,1600,1.0,0.0,1,0,2,1,3,6,6,2,1,1957.0,2,1.0,319.0,5,5,2,288,258,0,0,0,0,0,12,2006,8,4,207500.0
30,30,4,60.0,6324,1,0,3,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,520.0,520.0,1,1,0,4,520,0,0,520,0.0,0.0,1,0,1,1,1,4,6,0,5,1920.0,3,1.0,240.0,1,5,2,49,0,87,0,0,0,0,5,2008,8,4,68500.0
31,70,0,50.0,8500,1,3,3,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,2,0.0,3,1,0,4,4,3,6,0.0,6,0.0,649.0,649.0,1,4,0,4,649,668,0,1317,0.0,0.0,1,0,3,1,3,6,6,0,5,1920.0,3,1.0,250.0,5,1,0,0,54,172,0,0,0,0,7,2008,8,4,40000.0
32,20,3,69.30579531442663,8544,1,0,3,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,2,0.0,3,4,1,4,4,3,6,0.0,6,0.0,1228.0,1228.0,1,2,1,4,1228,0,0,1228,0.0,0.0,1,1,3,1,2,6,6,0,1,1966.0,3,1.0,271.0,5,5,2,0,65,0,0,0,0,0,6,2008,8,4,149350.0
33,20,3,85.0,11049,1,3,3,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,2,0.0,2,4,2,0,4,0,6,0.0,6,0.0,1234.0,1234.0,1,0,1,4,1234,0,0,1234,0.0,0.0,2,0,3,1,2,7,6,0,1,2007.0,2,2.0,484.0,5,5,2,0,30,0,0,0,0,0,1,2008,8,4,179900.0
34,20,3,70.0,10552,1,0,3,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,2,0.0,3,4,1,4,4,3,5,1018.0,6,0.0,380.0,1398.0,1,2,1,4,1700,0,0,1700,0.0,1.0,1,1,4,1,2,6,6,1,1,1959.0,2,2.0,447.0,5,5,2,0,38,0,0,0,0,0,4,2010,8,4,165500.0
35,120,3,60.0,7313,1,3,3,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,246.0,0,4,2,0,4,3,2,1153.0,6,0.0,408.0,1561.0,1,0,1,4,1561,0,0,1561,1.0,0.0,2,0,2,1,0,6,6,1,1,2005.0,0,2.0,556.0,5,5,2,203,47,0,0,0,0,0,8,2007,8,4,277500.0
36,60,3,108.0,13418,1,3,3,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,3,132.0,2,4,2,0,4,0,6,0.0,6,0.0,1117.0,1117.0,1,0,1,4,1132,1320,0,2452,0.0,0.0,3,1,4,1,2,9,6,1,3,2004.0,0,3.0,691.0,5,5,2,113,32,0,0,0,0,0,9,2006,8,4,309000.0
37,20,3,112.0,10859,1,3,3,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,2,0.0,3,4,2,2,4,3,6,0.0,6,0.0,1097.0,1097.0,1,0,1,4,1097,0,0,1097,0.0,0.0,1,1,3,1,3,6,6,0,1,1995.0,3,2.0,672.0,5,5,2,392,64,0,0,0,0,0,6,2009,8,4,145000.0
38,20,3,74.0,8532,1,3,3,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,3,4,1,4,4,3,5,1213.0,6,0.0,84.0,1297.0,1,2,1,4,1297,0,0,1297,0.0,1.0,1,0,3,1,3,5,6,1,1,1954.0,0,2.0,498.0,5,5,2,0,0,0,0,0,0,0,10,2009,8,4,153000.0
39,20,3,68.0,7922,1,3,3,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,2,0.0,3,2,1,4,4,3,2,731.0,6,0.0,326.0,1057.0,1,4,1,4,1057,0,0,1057,1.0,0.0,1,0,3,1,2,5,6,0,5,1953.0,3,1.0,246.0,5,5,2,0,52,0,0,0,0,0,1,2010,8,0,109000.0
40,90,3,65.0,6040,1,3,3,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,2,0.0,3,4,2,3,2,4,4,0.0,4,0.0,0.0,0.0,1,4,0,2,1152,0,0,1152,0.0,0.0,2,0,2,2,1,6,6,0,6,0.0,1,0.0,0.0,3,3,0,0,0,0,0,0,0,0,6,2008,8,1,82000.0
41,20,3,84.0,8658,1,3,3,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,4,1,4,4,3,5,643.0,6,0.0,445.0,1088.0,1,0,1,4,1324,0,0,1324,0.0,0.0,2,0,3,1,3,6,6,1,1,1965.0,2,2.0,440.0,5,5,2,0,138,0,0,0,0,0,12,2006,8,0,160000.0
42,20,3,115.0,16905,1,3,3,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,2,0.0,3,2,1,4,4,1,1,967.0,6,0.0,383.0,1350.0,1,2,1,4,1328,0,0,1328,0.0,1.0,1,1,2,1,3,5,6,2,1,1959.0,2,1.0,308.0,5,5,1,0,104,0,0,0,0,0,7,2007,8,4,170000.0
43,85,3,69.30579531442663,9180,1,0,3,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,2,0.0,3,4,1,2,4,0,0,747.0,3,93.0,0.0,840.0,1,2,1,4,884,0,0,884,1.0,0.0,1,0,2,1,2,5,6,0,1,1983.0,2,2.0,504.0,5,2,2,240,0,0,0,0,0,0,12,2007,8,4,144000.0
44,20,3,69.30579531442663,9200,1,0,3,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,2,0.0,3,4,1,2,4,0,3,280.0,1,491.0,167.0,938.0,1,4,1,4,938,0,0,938,1.0,0.0,1,0,3,1,3,5,6,0,5,1977.0,3,1.0,308.0,5,5,2,145,0,0,0,0,0,0,7,2008,8,4,130250.0
45,20,3,70.0,7945,1,3,3,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,2,0.0,3,4,1,4,4,3,0,179.0,1,506.0,465.0,1150.0,1,0,1,0,1150,0,0,1150,1.0,0.0,1,0,3,1,3,6,6,0,1,1959.0,2,1.0,300.0,5,5,2,0,0,0,0,0,0,0,5,2006,8,4,141000.0
46,120,3,61.0,7658,1,3,3,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,0,4,2,0,4,3,2,456.0,6,0.0,1296.0,1752.0,1,0,1,4,1752,0,0,1752,1.0,0.0,2,0,2,1,0,6,6,1,1,2005.0,2,2.0,576.0,5,5,2,196,82,0,0,0,0,0,2,2010,8,4,319900.0
47,50,3,48.0,12822,1,0,3,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,0.0,2,4,2,0,4,3,2,1351.0,6,0.0,83.0,1434.0,1,0,1,4,1518,631,0,2149,1.0,0.0,1,1,1,1,2,6,6,1,1,2003.0,2,2.0,670.0,5,5,2,168,43,0,0,198,0,0,8,2009,8,0,239686.0
48,20,1,84.0,11096,1,3,3,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,0.0,2,4,2,2,4,0,2,24.0,6,0.0,1632.0,1656.0,1,0,1,4,1656,0,0,1656,0.0,0.0,2,0,3,1,2,7,6,0,1,2006.0,2,3.0,826.0,5,5,2,0,146,0,0,0,0,0,7,2007,8,4,249700.0
49,190,4,33.0,4456,1,3,3,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,736.0,736.0,1,2,1,4,736,716,0,1452,0.0,0.0,2,0,2,3,3,8,6,0,6,0.0,1,0.0,0.0,3,3,0,0,0,102,0,0,0,0,6,2009,6,5,113000.0
50,20,3,66.0,7742,1,3,3,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,2,0.0,3,4,1,4,4,3,1,763.0,6,0.0,192.0,955.0,1,0,1,4,955,0,0,955,1.0,0.0,1,0,3,1,3,6,6,0,1,1966.0,3,1.0,386.0,5,5,2,0,0,0,0,0,0,0,1,2007,8,4,127000.0
51,60,3,69.30579531442663,13869,1,1,3,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,2,0.0,3,4,2,2,4,0,2,182.0,6,0.0,612.0,794.0,1,2,1,4,794,676,0,1470,0.0,1.0,2,0,3,1,3,6,6,0,1,1997.0,0,2.0,388.0,5,5,2,0,75,0,0,0,0,0,7,2007,8,4,177000.0
52,50,4,52.0,6240,1,3,3,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,2,0.0,3,4,2,4,4,3,6,0.0,6,0.0,816.0,816.0,1,4,1,4,816,0,360,1176,0.0,0.0,1,0,3,1,3,6,6,1,5,1985.0,3,2.0,528.0,5,5,2,112,0,0,0,0,0,400,9,2006,8,4,114500.0
53,90,4,110.0,8472,0,1,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,2,0.0,1,4,1,2,4,1,3,104.0,2,712.0,0.0,816.0,1,4,0,4,816,0,0,816,1.0,0.0,1,0,2,1,3,5,6,0,4,1963.0,3,2.0,516.0,5,5,2,106,0,0,0,0,0,0,5,2010,8,4,110000.0
54,20,3,68.0,50271,1,0,2,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,2,0.0,2,4,1,0,4,1,2,1810.0,6,0.0,32.0,1842.0,1,2,1,4,1842,0,0,1842,2.0,0.0,0,1,0,1,2,5,6,1,1,1981.0,0,3.0,894.0,5,5,2,857,72,0,0,0,0,0,11,2006,8,4,385000.0
55,80,3,60.0,7134,1,3,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,2,0.0,3,4,1,4,4,3,0,384.0,6,0.0,0.0,384.0,1,4,1,4,1360,0,0,1360,0.0,0.0,1,0,3,1,3,6,2,1,5,1962.0,3,2.0,572.0,5,5,2,0,50,0,0,0,0,0,2,2007,8,4,130000.0
56,20,3,100.0,10175,1,0,3,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272.0,3,4,1,4,4,3,1,490.0,6,0.0,935.0,1425.0,1,2,1,4,1425,0,0,1425,0.0,0.0,2,0,3,1,3,7,6,1,1,1964.0,2,2.0,576.0,5,5,2,0,0,0,407,0,0,0,7,2008,8,4,180500.0
57,160,1,24.0,2645,1,3,3,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456.0,2,4,2,2,4,3,2,649.0,6,0.0,321.0,970.0,1,0,1,4,983,756,0,1739,1.0,0.0,2,1,3,1,2,7,6,0,1,1999.0,0,2.0,480.0,5,5,2,115,0,0,0,0,0,0,8,2009,8,0,172500.0
58,60,3,89.0,11645,1,0,3,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,0.0,2,4,2,2,4,3,6,0.0,6,0.0,860.0,860.0,1,0,1,4,860,860,0,1720,0.0,0.0,2,1,3,1,2,7,6,0,1,2004.0,2,2.0,565.0,5,5,2,0,70,0,0,0,0,0,8,2006,8,4,196500.0
59,60,3,66.0,13682,1,1,1,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1031.0,0,4,2,0,4,1,6,0.0,6,0.0,1410.0,1410.0,1,0,1,4,1426,1519,0,2945,0.0,0.0,3,1,3,1,2,10,6,1,3,2006.0,0,3.0,641.0,5,5,2,192,0,37,0,0,0,0,10,2006,6,5,438780.0
60,20,3,60.0,7200,1,3,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,2,0.0,3,4,1,4,4,0,0,632.0,6,0.0,148.0,780.0,1,0,1,4,780,0,0,780,0.0,0.0,1,0,2,1,3,4,6,0,5,1973.0,3,1.0,352.0,5,5,2,196,0,0,0,0,0,0,1,2008,8,4,124900.0
61,20,3,63.0,13072,1,3,3,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,2,0.0,3,4,2,2,4,3,0,941.0,6,0.0,217.0,1158.0,1,0,1,4,1158,0,0,1158,1.0,0.0,1,1,3,1,2,5,6,0,5,2006.0,3,2.0,576.0,5,5,2,0,50,0,0,0,0,0,5,2006,6,5,158000.0
62,75,4,60.0,7200,1,3,3,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,2,0.0,3,4,0,4,0,3,6,0.0,6,0.0,530.0,530.0,1,4,0,4,581,530,0,1111,0.0,0.0,1,0,3,1,1,6,6,0,5,1935.0,3,1.0,288.0,5,5,0,0,0,144,0,0,0,0,3,2007,8,4,101000.0
63,120,3,44.0,6442,1,0,3,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,3,178.0,2,4,2,2,1,2,2,24.0,6,0.0,1346.0,1370.0,1,0,1,4,1370,0,0,1370,0.0,0.0,2,0,2,1,2,6,6,1,1,2006.0,2,2.0,484.0,5,5,2,120,49,0,0,0,0,0,10,2007,8,4,202500.0
64,70,4,50.0,10300,1,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,576.0,576.0,1,2,1,4,902,808,0,1710,0.0,0.0,2,0,3,1,3,9,6,0,5,1990.0,3,2.0,480.0,5,5,2,12,11,64,0,0,0,0,4,2010,8,4,140000.0
65,60,3,69.30579531442663,9375,1,3,3,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,573.0,3,4,2,2,4,3,2,739.0,6,0.0,318.0,1057.0,1,0,1,4,1057,977,0,2034,1.0,0.0,2,1,3,1,2,8,6,0,1,1998.0,2,2.0,645.0,5,5,2,576,36,0,0,0,0,0,2,2009,8,4,219500.0
66,60,3,76.0,9591,1,3,3,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,1,344.0,2,4,2,0,4,0,6,0.0,6,0.0,1143.0,1143.0,1,0,1,4,1143,1330,0,2473,0.0,0.0,2,1,4,1,2,9,6,1,3,2004.0,2,3.0,852.0,5,5,2,192,151,0,0,0,0,0,10,2007,8,4,317000.0
67,20,3,69.30579531442663,19900,1,3,3,4,0,12,3,2,0,2,7,5,1970,1989,1,1,9,10,1,287.0,3,4,1,2,4,1,2,912.0,6,0.0,1035.0,1947.0,1,4,1,4,2207,0,0,2207,1.0,0.0,2,0,3,1,3,7,2,1,1,1970.0,2,2.0,576.0,5,5,2,301,0,0,0,0,0,0,7,2010,8,4,180000.0
68,20,3,72.0,10665,1,0,3,4,0,5,2,2,0,2,7,5,2003,2003,1,1,12,13,1,167.0,2,4,2,2,4,0,2,1013.0,6,0.0,440.0,1453.0,1,0,1,4,1479,0,0,1479,1.0,0.0,2,0,3,1,2,7,6,0,1,2003.0,2,2.0,558.0,5,5,2,144,29,0,0,0,0,0,6,2007,8,4,226000.0
69,30,4,47.0,4608,1,3,3,0,0,17,0,2,0,2,4,6,1945,1950,1,1,8,8,2,0.0,3,2,1,4,4,3,6,0.0,6,0.0,747.0,747.0,1,4,1,4,747,0,0,747,0.0,0.0,1,0,2,1,3,4,6,0,1,1945.0,3,1.0,220.0,5,5,2,0,0,0,0,0,0,0,6,2010,8,4,80000.0
70,50,3,81.0,15593,1,3,3,0,0,4,2,2,0,0,7,4,1953,1953,1,1,3,0,2,0.0,2,4,1,4,4,3,1,603.0,6,0.0,701.0,1304.0,2,4,1,4,1304,983,0,2287,0.0,0.0,2,0,3,1,3,7,6,1,1,1953.0,0,2.0,667.0,5,5,2,0,21,114,0,0,0,0,7,2006,8,4,225000.0
